,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
Observer: 2 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1.118e-001,9.560e+000,1.989e+001,2.842e+001,3.903e+001,5.101e+001,6.070e+001,6.845e+001,7.631e+001,8.600e+001,1.022e+002,1.070e-001,4.261e+000,8.649e+000,1.216e+001,1.663e+001,2.181e+001,2.561e+001,2.874e+001,3.182e+001,3.535e+001,3.973e+001,1.142e-001,3.174e+000,6.883e+000,9.842e+000,1.363e+001,1.793e+001,2.179e+001,2.476e+001,2.779e+001,3.229e+001,4.335e+001,1.181e-001,1.846e+000,3.609e+000,5.162e+000,7.136e+000,9.309e+000,1.119e+001,1.291e+001,1.474e+001,1.704e+001,1.895e+001,6.229e+001,6.485e+001,6.507e+001,6.355e+001,6.002e+001,5.284e+001,4.506e+001,3.777e+001,3.194e+001,2.867e+001,2.990e+001,3.317e+001,3.842e+001,4.619e+001,5.170e+001,5.691e+001,5.009e+001,3.959e+001,5.393e+001,6.850e+001,7.341e+001,5.674e+001,4.468e+001,5.278e+001,6.084e+001,4.284e+001,2.742e+001,2.597e+001,4.449e+001,5.853e+001,3.949e+001,4.330e+001,1.879e+001,1.013e+002,1.193e-001,4.993e+001
Y,1.167e-001,9.776e+000,2.089e+001,2.981e+001,4.104e+001,5.370e+001,6.414e+001,7.250e+001,8.066e+001,9.139e+001,1.143e+002,1.081e-001,2.237e+000,4.498e+000,6.315e+000,8.606e+000,1.127e+001,1.324e+001,1.483e+001,1.644e+001,1.823e+001,2.048e+001,1.150e-001,6.491e+000,1.414e+001,2.026e+001,2.803e+001,3.691e+001,4.467e+001,5.070e+001,5.661e+001,6.571e+001,8.685e+001,1.109e-001,7.068e-001,1.320e+000,1.868e+000,2.571e+000,3.390e+000,4.082e+000,4.754e+000,5.515e+000,6.331e+000,7.129e+000,5.102e+001,5.047e+001,5.023e+001,5.049e+001,5.118e+001,5.095e+001,5.085e+001,5.054e+001,4.937e+001,4.947e+001,5.126e+001,5.231e+001,5.319e+001,5.388e+001,5.269e+001,5.131e+001,5.271e+001,2.041e+001,5.049e+001,8.027e+001,1.022e+002,9.376e+001,8.703e+001,8.966e+001,9.260e+001,5.549e+001,2.412e+001,1.068e+001,2.035e+001,2.749e+001,2.035e+001,8.652e+001,7.036e+000,1.134e+002,1.092e-001,5.256e+001
Z,2.340e-001,1.115e+001,2.232e+001,3.221e+001,4.437e+001,5.787e+001,6.894e+001,7.822e+001,8.901e+001,1.016e+002,1.133e+002,2.191e-001,5.456e-001,8.585e-001,1.072e+000,1.338e+000,1.570e+000,1.748e+000,1.887e+000,1.954e+000,2.050e+000,2.116e+000,2.243e-001,1.255e+000,2.491e+000,3.453e+000,4.628e+000,5.924e+000,6.959e+000,7.761e+000,8.581e+000,9.525e+000,1.165e+001,2.141e-001,9.152e+000,1.826e+001,2.636e+001,3.657e+001,4.802e+001,5.754e+001,6.620e+001,7.529e+001,8.779e+001,9.720e+001,5.560e+001,7.309e+001,8.926e+001,1.026e+002,1.056e+002,1.032e+002,9.040e+001,7.392e+001,5.638e+001,3.552e+001,2.184e+001,1.126e+001,8.123e+000,1.141e+001,2.182e+001,3.505e+001,5.670e+001,2.128e+000,6.904e+000,1.091e+001,1.339e+001,1.257e+001,1.914e+001,6.104e+001,1.035e+002,1.066e+002,1.021e+002,9.721e+001,9.766e+001,9.795e+001,2.106e+000,1.155e+001,9.673e+001,1.118e+002,2.268e-001,5.635e+001
CCT,34549,6513,6350,6414,6443,6433,6455,6506,6649,6759,6522,33643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24413,6234,6184,6169,6148,6133,6102,6089,6067,6041,5954,18750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3633,4472,7418,14447,20428,28017,19815,14154,10873,8015,6471,5336,4592,3913,3612,3396,6417,N/A,2692,3770,4561,5273,6163,7709,10436,50205,N/A,N/A,N/A,2369,N/A,5943,N/A,6495,28221,6398
MK -¹,28.9,153.5,157.5,155.9,155.2,155.5,154.9,153.7,150.4,148.0,153.3,29.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.0,160.4,161.7,162.1,162.7,163.1,163.9,164.2,164.8,165.5,168.0,53.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,275.2,223.6,134.8,69.2,49.0,35.7,50.5,70.7,92.0,124.8,154.5,187.4,217.8,255.5,276.9,294.4,155.8,N/A,371.5,265.2,219.3,189.6,162.3,129.7,95.8,19.9,N/A,N/A,N/A,422.1,N/A,168.3,N/A,154.0,35.4,156.3
u-v Dev,0.0079,-0.0016,0.0030,0.0028,0.0032,0.0033,0.0040,0.0043,0.0039,0.0048,0.0134,0.0027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0013,0.1008,0.1017,0.1020,0.1021,0.1023,0.1020,0.1019,0.1015,0.1015,0.1002,-0.0114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0360,-0.0493,-0.0509,-0.0419,-0.0273,-0.0052,0.0178,0.0404,0.0585,0.0738,0.0770,0.0716,0.0574,0.0340,0.0104,-0.0132,0.0033,N/A,0.0129,0.0373,0.0588,0.0792,0.0952,0.0724,0.0567,0.0392,N/A,N/A,N/A,-0.1424,N/A,0.1000,N/A,0.0135,-0.0137,0.0034
x,0.2417,0.3136,0.3153,0.3142,0.3136,0.3138,0.3132,0.3123,0.3102,0.3083,0.3098,0.2465,0.6049,0.6176,0.6222,0.6258,0.6295,0.6308,0.6322,0.6337,0.6355,0.6375,0.2518,0.2906,0.2927,0.2933,0.2944,0.2951,0.2968,0.2975,0.2989,0.3003,0.3056,0.2666,0.1577,0.1556,0.1546,0.1542,0.1533,0.1537,0.1540,0.1543,0.1533,0.1537,0.3688,0.3442,0.3181,0.2933,0.2769,0.2552,0.2419,0.2328,0.2320,0.2523,0.2903,0.3429,0.3852,0.4143,0.4096,0.3972,0.3140,0.6372,0.4844,0.4290,0.3884,0.3480,0.2962,0.2594,0.2368,0.2091,0.1785,0.1940,0.2738,0.3181,0.6375,0.3063,0.1533,0.3102,0.2620,0.3143
y,0.2523,0.3207,0.3310,0.3296,0.3298,0.3303,0.3310,0.3308,0.3279,0.3276,0.3466,0.2489,0.3176,0.3211,0.3230,0.3238,0.3252,0.3261,0.3263,0.3274,0.3277,0.3285,0.2537,0.5944,0.6014,0.6038,0.6056,0.6074,0.6084,0.6092,0.6089,0.6111,0.6122,0.2502,0.0604,0.0569,0.0559,0.0556,0.0558,0.0561,0.0567,0.0577,0.0570,0.0578,0.3021,0.2679,0.2456,0.2330,0.2361,0.2461,0.2729,0.3115,0.3585,0.4352,0.4976,0.5407,0.5334,0.4833,0.4175,0.3581,0.3305,0.3285,0.4535,0.5027,0.5408,0.5749,0.5769,0.4406,0.3605,0.2708,0.1570,0.0798,0.1252,0.1494,0.3285,0.6120,0.0574,0.3473,0.2400,0.3309
u,0.1744,0.2016,0.1988,0.1986,0.1982,0.1981,0.1975,0.1969,0.1965,0.1953,0.1895,0.1795,0.4319,0.4396,0.4419,0.4443,0.4462,0.4465,0.4475,0.4477,0.4490,0.4499,0.1818,0.1217,0.1216,0.1215,0.1217,0.1217,0.1223,0.1225,0.1231,0.1234,0.1256,0.1950,0.1850,0.1846,0.1839,0.1837,0.1823,0.1827,0.1826,0.1824,0.1816,0.1816,0.2506,0.2492,0.2396,0.2252,0.2098,0.1876,0.1671,0.1485,0.1357,0.1307,0.1384,0.1558,0.1785,0.2079,0.2279,0.2443,0.1982,0.4497,0.2593,0.2099,0.1783,0.1512,0.1270,0.1335,0.1382,0.1434,0.1577,0.2174,0.2769,0.3061,0.4500,0.1259,0.1813,0.1895,0.1956,0.1983
