,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
380,0.000e+000,1.347e-006,3.595e-006,7.553e-005,2.701e-005,3.512e-006,1.251e-005,0.000e+000,1.908e-006,6.809e-005,1.810e-005,0.000e+000,1.212e-006,8.156e-007,1.009e-006,4.163e-006,1.321e-005,3.180e-006,1.217e-005,0.000e+000,2.757e-005,0.000e+000,0.000e+000,5.097e-008,0.000e+000,0.000e+000,3.040e-005,0.000e+000,0.000e+000,1.358e-006,1.754e-005,1.872e-005,3.030e-005,0.000e+000,6.905e-007,2.739e-006,0.000e+000,1.063e-005,0.000e+000,1.792e-005,2.628e-005,4.110e-006,3.020e-005,0.000e+000,1.033e-005,1.284e-005,1.567e-005,1.109e-005,5.111e-006,1.229e-005,1.366e-005,7.770e-006,5.695e-006,8.713e-006,1.106e-005,7.658e-006,7.014e-006,4.760e-006,7.509e-006,9.704e-006,1.085e-005,2.803e-006,7.897e-006,1.187e-005,8.359e-006,1.717e-005,8.924e-006,5.571e-006,1.284e-005,1.371e-005,1.757e-005,1.023e-005,8.970e-006,1.614e-005,3.654e-006,4.998e-006,1.180e-005,2.349e-005,3.642e-007,8.134e-006
384,0.000e+000,2.003e-006,3.878e-006,2.438e-005,1.106e-006,4.771e-007,1.646e-005,0.000e+000,7.618e-006,4.603e-006,4.508e-005,0.000e+000,1.039e-006,7.304e-008,5.329e-007,1.992e-008,4.976e-006,3.967e-006,1.804e-005,0.000e+000,3.194e-005,1.705e-006,0.000e+000,3.637e-010,0.000e+000,0.000e+000,3.942e-006,0.000e+000,0.000e+000,2.945e-006,2.253e-006,7.727e-006,1.434e-005,0.000e+000,4.927e-009,1.007e-005,1.319e-005,7.585e-008,9.210e-007,4.349e-007,1.938e-005,1.619e-005,4.149e-005,0.000e+000,1.278e-005,1.263e-005,1.458e-005,9.115e-006,7.437e-006,1.529e-005,1.269e-005,7.623e-006,8.818e-006,6.800e-006,8.963e-006,7.430e-006,5.957e-006,4.696e-006,5.341e-006,1.222e-005,7.110e-006,4.910e-006,6.749e-006,1.176e-005,1.280e-005,1.151e-005,9.967e-006,9.184e-006,6.931e-006,1.172e-005,1.408e-005,1.333e-005,1.617e-005,9.838e-006,3.591e-006,3.791e-006,7.464e-006,2.407e-005,1.440e-008,6.313e-006
388,0.000e+000,1.068e-006,3.455e-006,2.983e-005,1.192e-005,3.353e-006,6.113e-006,0.000e+000,1.696e-005,2.463e-005,2.037e-005,0.000e+000,1.130e-006,4.751e-007,2.184e-007,6.278e-007,5.112e-006,0.000e+000,0.000e+000,0.000e+000,2.691e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,0.000e+000,9.818e-006,0.000e+000,0.000e+000,1.068e-006,1.409e-005,6.360e-006,3.049e-005,0.000e+000,9.554e-008,3.423e-006,1.045e-005,4.382e-006,4.939e-006,1.646e-006,1.992e-005,1.696e-005,2.899e-005,0.000e+000,1.635e-005,1.294e-005,1.536e-005,1.168e-005,8.321e-006,1.468e-005,1.359e-005,8.533e-006,5.862e-006,5.830e-006,8.608e-006,5.063e-006,7.302e-006,5.958e-006,7.359e-006,1.085e-005,9.619e-006,4.626e-006,3.436e-006,9.802e-006,1.091e-005,8.306e-006,1.555e-005,1.048e-005,1.240e-005,9.844e-006,1.332e-005,7.812e-006,1.313e-005,1.791e-005,1.881e-006,2.432e-006,8.315e-006,2.448e-005,4.094e-007,8.195e-006
392,0.000e+000,9.342e-007,3.374e-006,2.419e-005,1.817e-005,3.110e-006,1.086e-005,8.449e-007,1.165e-005,5.085e-006,1.571e-005,0.000e+000,1.118e-006,3.619e-007,4.974e-007,1.365e-006,0.000e+000,1.507e-006,0.000e+000,0.000e+000,2.032e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,0.000e+000,1.184e-005,5.247e-007,0.000e+000,1.049e-006,1.189e-005,2.614e-006,2.639e-005,0.000e+000,4.763e-007,1.033e-005,1.957e-005,9.528e-006,1.618e-006,0.000e+000,9.385e-006,1.485e-005,2.993e-005,0.000e+000,7.062e-006,1.255e-005,1.596e-005,8.667e-006,7.877e-006,1.346e-005,1.553e-005,1.292e-005,1.055e-005,4.889e-006,7.571e-006,4.711e-006,5.983e-006,4.630e-006,6.213e-006,7.875e-006,9.514e-006,2.695e-006,4.481e-006,7.424e-006,8.804e-006,1.145e-005,7.634e-006,1.314e-005,1.594e-005,5.150e-006,1.455e-005,1.189e-005,1.484e-005,1.502e-005,3.419e-006,4.258e-006,7.695e-006,2.133e-005,8.764e-007,8.798e-006
396,0.000e+000,1.172e-006,3.083e-006,1.624e-005,1.494e-005,1.379e-006,8.378e-006,9.435e-006,1.873e-005,1.100e-005,1.062e-005,0.000e+000,8.225e-007,4.709e-007,4.656e-007,0.000e+000,0.000e+000,4.854e-006,0.000e+000,0.000e+000,2.474e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,0.000e+000,7.637e-006,5.924e-007,0.000e+000,1.843e-006,7.220e-006,2.226e-005,1.890e-005,0.000e+000,6.613e-007,3.259e-006,1.214e-005,2.108e-006,8.934e-006,0.000e+000,1.328e-005,1.926e-005,2.435e-005,0.000e+000,6.595e-006,1.111e-005,1.402e-005,1.222e-005,1.061e-005,1.506e-005,1.678e-005,8.332e-006,1.069e-005,4.318e-006,6.768e-006,4.461e-006,4.543e-006,4.000e-006,5.717e-006,5.431e-006,8.713e-006,1.397e-006,6.700e-006,6.536e-006,7.543e-006,1.087e-005,7.515e-006,1.274e-005,1.589e-005,1.365e-005,1.418e-005,1.106e-005,1.412e-005,1.403e-005,2.779e-006,4.770e-006,8.269e-006,2.081e-005,3.072e-007,8.649e-006
400,0.000e+000,1.419e-006,2.734e-006,1.335e-005,1.144e-005,0.000e+000,5.467e-006,5.126e-006,3.209e-005,4.056e-005,8.480e-006,0.000e+000,9.090e-007,2.077e-007,5.799e-007,0.000e+000,0.000e+000,4.867e-006,0.000e+000,0.000e+000,2.278e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,2.174e-006,3.183e-006,0.000e+000,0.000e+000,3.979e-007,0.000e+000,1.346e-005,1.594e-005,0.000e+000,6.864e-007,5.672e-006,4.078e-006,1.274e-006,3.292e-005,0.000e+000,4.992e-006,1.583e-005,2.676e-006,0.000e+000,9.553e-006,1.245e-005,1.545e-005,1.441e-005,1.340e-005,1.771e-005,1.519e-005,1.143e-005,6.278e-006,5.341e-006,6.928e-006,5.574e-006,4.218e-006,4.446e-006,5.906e-006,6.543e-006,7.407e-006,2.518e-006,3.894e-006,6.736e-006,7.468e-006,8.385e-006,8.461e-006,9.962e-006,1.362e-005,1.508e-005,1.462e-005,1.292e-005,1.351e-005,1.307e-005,2.451e-006,3.212e-006,9.448e-006,2.193e-005,1.452e-007,7.944e-006
404,0.000e+000,1.676e-006,3.432e-006,2.532e-005,2.066e-005,8.146e-006,2.635e-005,1.550e-005,1.063e-005,2.273e-005,2.106e-005,0.000e+000,7.319e-007,3.492e-007,4.522e-007,0.000e+000,0.000e+000,8.676e-007,0.000e+000,0.000e+000,1.965e-005,0.000e+000,0.000e+000,2.418e-007,0.000e+000,6.367e-007,2.713e-005,0.000e+000,0.000e+000,1.050e-005,7.109e-006,4.227e-006,1.127e-005,0.000e+000,7.815e-007,1.662e-006,6.975e-006,9.337e-006,1.918e-005,8.096e-006,5.749e-007,1.406e-005,1.471e-005,1.750e-006,1.086e-005,1.467e-005,1.789e-005,1.628e-005,1.784e-005,2.062e-005,1.842e-005,1.249e-005,8.273e-006,4.385e-006,6.999e-006,2.924e-006,3.668e-006,4.385e-006,5.445e-006,9.031e-006,1.170e-005,3.390e-006,3.795e-006,6.757e-006,2.667e-005,1.036e-005,8.574e-006,1.313e-005,1.612e-005,1.943e-005,1.799e-005,1.608e-005,1.729e-005,1.753e-005,1.688e-006,2.083e-006,4.862e-006,2.291e-005,4.077e-008,8.065e-006
408,0.000e+000,1.897e-006,4.389e-006,2.105e-005,1.354e-005,1.135e-005,1.583e-005,1.536e-005,4.760e-005,2.486e-005,2.256e-005,0.000e+000,1.004e-006,1.360e-007,7.272e-007,0.000e+000,7.942e-006,0.000e+000,0.000e+000,0.000e+000,2.041e-005,0.000e+000,0.000e+000,2.788e-008,0.000e+000,0.000e+000,6.337e-006,2.565e-007,4.896e-006,1.141e-005,1.641e-005,3.498e-007,1.707e-005,0.000e+000,1.577e-006,0.000e+000,1.910e-005,1.070e-005,1.091e-006,6.701e-007,1.762e-005,1.895e-005,2.745e-005,2.028e-005,1.383e-005,1.925e-005,2.275e-005,2.289e-005,2.406e-005,2.430e-005,2.213e-005,1.629e-005,1.036e-005,5.971e-006,8.195e-006,4.698e-006,3.573e-006,3.954e-006,6.248e-006,9.897e-006,1.363e-005,2.910e-006,5.295e-006,6.545e-006,9.085e-006,8.014e-006,6.398e-006,1.822e-005,2.154e-005,2.493e-005,2.467e-005,1.985e-005,2.231e-005,2.307e-005,1.779e-006,4.139e-006,1.776e-005,3.103e-005,1.641e-007,1.178e-005
412,0.000e+000,3.749e-006,7.171e-006,2.791e-005,2.606e-005,1.137e-005,2.326e-005,2.617e-005,4.254e-005,5.449e-005,3.383e-005,0.000e+000,1.158e-006,8.798e-007,1.294e-006,9.248e-007,5.143e-006,8.777e-007,0.000e+000,0.000e+000,5.493e-006,0.000e+000,0.000e+000,1.418e-007,0.000e+000,0.000e+000,7.598e-006,2.970e-006,0.000e+000,5.499e-007,4.517e-006,0.000e+000,1.785e-005,1.463e-007,2.969e-006,1.513e-006,7.796e-006,1.045e-005,8.509e-006,5.654e-006,1.595e-005,2.953e-005,4.167e-005,3.776e-005,2.337e-005,2.964e-005,3.585e-005,3.960e-005,4.424e-005,3.675e-005,3.526e-005,2.822e-005,1.897e-005,1.099e-005,9.187e-006,6.011e-006,4.410e-006,4.775e-006,9.277e-006,1.551e-005,2.081e-005,3.490e-006,4.707e-006,6.462e-006,6.242e-006,7.834e-006,5.805e-006,2.393e-005,3.798e-005,3.927e-005,3.756e-005,3.717e-005,3.777e-005,3.988e-005,3.137e-006,3.460e-006,3.427e-005,4.520e-005,3.376e-008,2.013e-005
416,0.000e+000,6.850e-006,1.423e-005,2.402e-005,3.833e-005,3.833e-005,4.657e-005,6.364e-005,7.444e-005,7.656e-005,8.431e-005,0.000e+000,2.005e-006,1.583e-006,2.154e-006,2.891e-006,2.744e-006,3.566e-006,0.000e+000,0.000e+000,1.124e-005,0.000e+000,0.000e+000,2.902e-007,0.000e+000,0.000e+000,7.160e-006,0.000e+000,0.000e+000,1.719e-006,5.816e-006,0.000e+000,4.048e-006,4.574e-007,5.882e-006,7.617e-006,1.598e-005,2.659e-005,3.710e-005,3.489e-005,3.635e-005,5.924e-005,7.417e-005,6.128e-005,4.078e-005,5.483e-005,6.513e-005,7.653e-005,7.495e-005,7.244e-005,6.814e-005,5.111e-005,3.522e-005,2.111e-005,1.453e-005,7.068e-006,5.732e-006,7.742e-006,1.639e-005,2.613e-005,3.957e-005,5.274e-006,6.448e-006,8.250e-006,9.852e-006,1.016e-005,9.482e-006,4.228e-005,7.073e-005,7.232e-005,7.241e-005,7.586e-005,7.594e-005,7.486e-005,4.374e-006,4.741e-006,7.032e-005,8.246e-005,2.286e-007,3.984e-005
